"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"METRNL",394.410044447496,-1.25701522208902,0.164010267301308,-4.61565751062574,3.91852710828895e-06,0.000308794584832639
"FANCI",267.647404382143,1.13395250304736,0.137567492135941,4.60830166490864,4.05971370246671e-06,0.0003184326133879
"IGHA1",13658.6426718211,2.50577178216677,0.437828664345121,4.58117968399096,4.62360364768062e-06,0.000360983573678176
"SMC2",198.740972410017,1.16604133698863,0.14574354316998,4.56995433555385,4.87830498087576e-06,0.000379113987085202
"IGHG2",4589.71933826792,2.36961713812693,0.409489261442175,4.56572934670459,4.97760651886273e-06,0.000385056680431656
"DEFA3",17824.181167462,2.79391075761127,0.503254481551436,4.55815266769128,5.16055209198213e-06,0.000397386075247428
"SPC25",60.2135203756663,1.31580073312308,0.179104227749632,4.55489378097472,5.24120554692282e-06,0.000401762228833211
"RGS13",6.29734733701809,2.30539505922276,0.397416127171759,4.54283290431867,5.55032462889041e-06,0.000423532463989176
"MCM2",244.117100028913,1.30660101138945,0.178512583014563,4.51845465327028,6.22926108117315e-06,0.00047319936429236
"PARM1",62.530699280691,1.75408089640136,0.278273669988531,4.50664590887469,6.58604024253701e-06,0.000498058218162082
"RACGAP1",237.441712948659,0.994416066974026,0.110109615879515,4.49021698082237,7.11506566002589e-06,0.000535662800404807
"NET1",226.468983873817,1.1486530932034,0.144828120458494,4.47877864567948,7.50713296112098e-06,0.000562667956694863
"DDX60",2356.56941910507,1.88964067879119,0.310585057668097,4.47426765867213,7.66736476810411e-06,0.000572134687828795
"IFI44",5328.32839800845,2.01658051212995,0.339708906605802,4.46435310537732,8.03110246022819e-06,0.000596636616252371
"KIAA1958",258.936615948735,1.43717814018962,0.210652429428052,4.44893107919135,8.62987003709435e-06,0.00063830758028754
"RSAD2",6984.7232728846,2.46693931589302,0.4428700060647,4.44134687144666,8.93975528681526e-06,0.000658340756143461
"FAP",10.2821814746791,2.21123403249088,0.385890814255725,4.43450315289668,9.2284869378806e-06,0.000676648711827906
"ITM2C",1377.12401275858,1.66995305831838,0.264224322076095,4.42787798309286,9.51647077694113e-06,0.000694743563559893
